"ID","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","Error.in.coefficient","Error.in.standard.error","Error.in.t.value...z.value","Error.in.p.value","Error.in.eye.catcher","There.is.no.reporting.error","I.don.t.know","Error.occurred.while.transferring.results.from.statistical.software.to.Word..Latex.etc.","Error.occurred.while.updating.tables.during.the.research...review.process","Error.occured.in.typesetting.by.the.publisher.and.remained.undetected.in.proofreading","Reporting.error.is.falsely.diagnosed.due.to.low.degrees.of.freedom.of.the.corresponding.test..algorithm.to.detect.reporting.errors.relies.on.critical.values.of.the.standard.normal.distribution.","I.don.t.know.1","Other.reason","error_id","paper_id","our_comment"
4,-0.33,0.165,NA,1.963746,2.036474,"two sided","0.041703 < p < 0.049560","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.0649o0_4_6_0.75_0.25","9o0.099999999999994304","low df"
5,-0.58,0.221,NA,2.595937,2.653061,"two sided","0.007977 < p < 0.009433","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.6969o0_4_6_1_0.25","9o0.099999999999994304","low df"
1,1.02,0.61,NA,1.669943,1.674323,"two sided","0.094067 < p < 0.094931","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"1.778g2_2_1_1.5_0.5","8g2.227","author: low df"
2,0.243,0.065,NA,3.70229,3.775194,"two sided","0.000160 < p < 0.000214","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"3.8028g2_2_3_0.25_0.75","8g2.227",NA
3,0.0297,0.118,NA,0.250211,0.253191,"two sided","0.800120 < p < 0.802424","0.01 < p < 0.05",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"0.358g2_2_5_0.5_0.5","8g2.227",NA
1,0.219,0.089,NA,2.441341,2.480226,"two sided","0.013130 < p < 0.014633","0 < p < 0.01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.54111o4_4_1_A_0.75_2","11o9.0999999999999949",NA
2,28.908,11.876,NA,2.434008,2.434298,"two sided","0.014921 < p < 0.014933","0 < p < 0.01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.53411o4_4_1_A_1_0.75","11o9.0999999999999949",NA
3,20.657,12.877,NA,1.604077,1.604279,"two sided","0.108653 < p < 0.108697","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"1.70411o4_4_1_A_1_1.5","11o9.0999999999999949",NA
4,0.071,0.04,NA,1.566667,2.042857,"two sided","0.041067 < p < 0.117193","0 < p < 0.01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"1.66711o4_4_1_B_0.5_0.5","11o9.0999999999999949",NA
5,0.209,0.077,NA,2.690323,2.738562,"two sided","0.006171 < p < 0.007138","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.7911o4_4_1_B_1.25_0.75","11o9.0999999999999949",NA
