"ID","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","Error.in.coefficient","Error.in.standard.error","Error.in.t.value...z.value","Error.in.p.value","Error.in.eye.catcher","There.is.no.reporting.error","I.don.t.know","Error.occurred.while.transferring.results.from.statistical.software.to.Word..Latex.etc.","Error.occurred.while.updating.tables.during.the.research...review.process","Error.occured.in.typesetting.by.the.publisher.and.remained.undetected.in.proofreading","Reporting.error.is.falsely.diagnosed.due.to.low.degrees.of.freedom.of.the.corresponding.test..algorithm.to.detect.reporting.errors.relies.on.critical.values.of.the.standard.normal.distribution.","I.don.t.know.1","Other.reason","error_id","paper_id","our_comment"
4,0.02,0.017,NA,0.857143,1.515152,"two sided","0.129734 < p < 0.391366","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"0.9578d1_2_3_0.5_0.5","8d1.5112","marginal"
5,0.056,0.036,NA,1.520548,1.591549,"two sided","0.111486 < p < 0.128373","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"1.6218d1_2_3_0.5_1","8d1.5112","marginal"
1,0.144,0.058,NA,2.452991,2.513043,"two sided","0.011969 < p < 0.014167","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.5536e0_3_3_1_0.75_1","6e0.29999999999999703","implausible answer"
2,0.053,0.031,NA,1.666667,1.754098,"two sided","0.079414 < p < 0.095581","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7676e0_3_3_3_0.5_0.5","6e0.29999999999999703","low df"
3,2.907,1.192,NA,2.437317,2.440201,"two sided","0.014679 < p < 0.014797","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.5376e0_3_4_0.25_2.5","6e0.29999999999999703","implausible answer"
4,2.212,1.224,NA,1.806043,1.808337,"two sided","0.070554 < p < 0.070912","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.9066e0_3_4_0.25_2","6e0.29999999999999703","implausible answer"
5,2.607,1.021,NA,2.55164,2.55512,"two sided","0.010615 < p < 0.010722","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.6526e0_3_4_0.25_2.25","6e0.29999999999999703","implausible answer"
6,0.1112,0.0554,NA,2.004509,2.009937,"two sided","0.044438 < p < 0.045016","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.1056e0_3_5_0.25_0.25","6e0.29999999999999703","implausible answer"
7,0.0041,0.0022,NA,1.8,1.930233,"two sided","0.053578 < p < 0.071861","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.96e0_3_5_0.5_0.5","6e0.29999999999999703","implausible answer"
8,0.86,0.32,NA,2.630769,2.746032,"two sided","0.006032 < p < 0.008519","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.7316e3_0_4_A_0.25_0.25","6e3.2315","low df"
9,-1.76,0.72,NA,2.42069,2.468531,"two sided","0.013567 < p < 0.015491","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.5216e3_0_4_A_0.75_0.5","6e3.2315","implausible answer"
10,0.83,0.41,NA,1.987952,2.061728,"two sided","0.039234 < p < 0.046817","0.05 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.0886e3_0_4_B_0.25_0.25","6e3.2315","low df"
11,1.14,0.41,NA,2.73494,2.82716,"two sided","0.004696 < p < 0.006239","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.8356e3_0_6_0.5_0.5","6e3.2315","low df"
12,1.41,0.5,NA,2.782178,2.858586,"two sided","0.004255 < p < 0.005400","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.8826e3_0_7_0.5_0.25","6e3.2315","low df"
1,0.0041,0.0017,NA,2.314286,2.515152,"two sided","0.011898 < p < 0.020652","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"2.41410a2_2_5_0.25_1","10a2.327",NA
2,-0.0207,0.0087,NA,2.36,2.398844,"two sided","0.016447 < p < 0.018275","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"2.4610a2_2_7_1.25_0.75","10a2.327",NA
1,-0.232,0.087,NA,2.645714,2.687861,"two sided","0.007191 < p < 0.008152","0.01 < p < 0.05",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.7466g1_3_4_1.25_1.5","6g6.4000000000000113","low df"
2,-23.1,11.7,NA,1.961702,1.987124,"two sided","0.046909 < p < 0.049797","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.0626g1_3_4_2_1.5","6g6.4000000000000113","low df"
3,-0.104,0.062,NA,1.656,1.699187,"two sided","0.089284 < p < 0.097722","0.1 < p < 1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"1.7566g1_3_5_0.25_1","6g6.4000000000000113","low df"
1,-1.26,0.548,NA,2.288058,2.310502,"two sided","0.020860 < p < 0.022134","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"2.3886n0_3_3_0.25_1.5","6n0.299999999999997018",NA
2,0.028,0.016,NA,1.666667,1.83871,"two sided","0.065958 < p < 0.095581","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7676n1_1_4_1.25_1.75","6n1.2116","marginal"
1,0.079,0.009,NA,8.263158,9.352941,"two sided","0.000000 < p < 0.000001","0.05 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"8.3639.3_1_5_B_0.25_1.75","9.6.4000000000000136",NA
2,0.061,0.008,NA,7.117647,8.2,"two sided","0.000000 < p < 0.000001","0.05 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"7.2189.3_1_5_B_0.25_2","9.6.4000000000000136",NA
1,NA,NA,NA,2e-04,0.00015,"0.000250","0.000150 < p < 0.000250","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"0.14e1_0_6_1.25_0.25","4e6.3115",NA
2,NA,NA,NA,0.0011,0.00105,"0.001150","0.001050 < p < 0.001150","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"0.1014e1_0_6_1.75_0.25","4e6.3115",NA
1,1.05e-09,6.49e-10,NA,1.60893,1.626831,"two sided","0.103773 < p < 0.107632","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"1.7095n1_1_3_0.5_1.5","5n4.5111",NA
1,-0.242,0.0118,NA,20.379747,20.638298,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"20.488e2_3_7_0.25_2.25","8e2.2213","implausible answer"
1,NA,NA,1.88,1.875,1.885,"two sided","0.059430 < p < 0.060793","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"1.9755l0_4_7_1_0.75","5l0.5014",NA
1,0.14,0.1,NA,1.285714,1.526316,"two sided","0.126931 < p < 0.198543","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.3865l1_0_3_0.25_0.75","5l1.7110","marginal"
2,0.25,0.16,NA,1.484848,1.645161,"two sided","0.099937 < p < 0.137584","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.5855l1_0_3_0.25_1.25","5l1.7110","marginal"
3,0.28,0.16,NA,1.666667,1.83871,"two sided","0.065958 < p < 0.095581","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7675l1_0_3_0.25_1.75","5l1.7110","marginal"
4,0.22,0.16,NA,1.30303,1.451613,"two sided","0.146609 < p < 0.192564","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.4035l1_0_3_0.75_0.75","5l1.7110","marginal"
5,0.24,0.2,NA,1.146341,1.25641,"two sided","0.208967 < p < 0.251654","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.2465l1_0_3_1_0.75","5l1.7110","marginal"
6,0.15,0.1,NA,1.380952,1.631579,"two sided","0.102768 < p < 0.167294","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.4815l1_0_3_1_1.25","5l1.7110","marginal"
7,0.3,0.17,NA,1.685714,1.848485,"two sided","0.064532 < p < 0.091851","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7865l1_0_3_1.25_1.75","5l1.7110","marginal"
8,2.56,0.89,NA,2.854749,2.898305,"two sided","0.003752 < p < 0.004307","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.9555l1_0_3_1.5_1.5","5l1.7110","marginal"
9,-0.16,0.05,NA,2.818182,3.666667,"two sided","0.000246 < p < 0.004830","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.9185l1_0_6_0.75_1.25","5l1.7110","marginal"
10,0.18,0.08,NA,2.058824,2.466667,"two sided","0.013638 < p < 0.039511","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.1595l1_0_6_1.25_0.75","5l1.7110","marginal"
11,0.46,0.26,NA,1.716981,1.823529,"two sided","0.068223 < p < 0.085983","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.8175l1_0_6_1.5_1.25","5l1.7110","marginal"
1,-27.47,8.89,NA,NA,NA,"two sided","0.001986 < p < 0.002017","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"3.1884k1_2_4_0.75_0.75","4k1.4000000000000117","low df"
1,-1448.2,569.8,NA,2.541283,2.541904,"two sided","0.011025 < p < 0.011045","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.6414g3_3_5_1.75_0.75","4g6.233","author: low df;implausible answer"
2,0.505,0.208,NA,2.419664,2.436145,"two sided","0.014845 < p < 0.015535","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.524g1_2_2_0.25_0.5","4g1.717","author: low df;implausible answer"
3,0.535,0.256,NA,2.083821,2.09589,"two sided","0.036092 < p < 0.037176","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.1844g1_2_2_0.25_1","4g1.717","coding error by us"
4,0.172,0.064,NA,2.658915,2.716535,"two sided","0.006597 < p < 0.007839","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.7594g1_2_5_0.25_0.75","4g1.717","author: low df;implausible answer"
1,-0.0853,0.062,NA,1.364,1.387805,"two sided","0.165196 < p < 0.172568","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"1.4644r2_3_6_0.75_0.5","4r7.09999999999999218",NA
1,NA,NA,4.2,4.15,4.25,"two sided","0.000021 < p < 0.000033","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"4.258n3_1_7_3_1.25","8n3.0999999999999931",NA
2,NA,NA,3.1,3.05,3.15,"two sided","0.001633 < p < 0.002288","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"3.158n3_1_7_1.75_1.25","8n3.0999999999999931",NA
3,NA,NA,2.5,2.45,2.55,"two sided","0.010772 < p < 0.014286","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.558n3_1_8_0.5_1.5","8n3.0999999999999931",NA
1,0.242,0.069,NA,3.47482,3.540146,"two sided","0.000400 < p < 0.000511","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"3.57511r0_1_2_1_0.5","11r0.099999999999994301","author: low df"
2,0.242,0.069,NA,3.47482,3.540146,"two sided","0.000400 < p < 0.000511","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"3.57511r0_1_2_1_0.75","11r0.099999999999994301","author: low df"
3,0.376,0.116,NA,3.223176,3.25974,"two sided","0.001115 < p < 0.001268","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"3.32311r0_1_2_1.25_1.5","11r0.099999999999994301","author: low df"
1,0.752,0.397,NA,1.890566,1.897856,"two sided","0.057715 < p < 0.058682","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.9916n1_3_3_0.25_0.75","6n1.5113","marginal"
2,0.352,0.234,NA,1.498934,1.509636,"two sided","0.131136 < p < 0.133891","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.5996n1_3_3_0.5_0.75","6n1.5113","marginal"
3,0.565,0.247,NA,2.280808,2.294118,"two sided","0.021784 < p < 0.022560","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.3816n1_3_3_0.5_1","6n1.5113","marginal"
4,0.538,0.348,NA,1.542324,1.54964,"two sided","0.121228 < p < 0.122995","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.6426n1_3_3_0.75_0.75","6n1.5113","marginal"
5,0.81,0.36,NA,2.205479,2.295775,"two sided","0.021689 < p < 0.027420","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.3056n1_3_3_0.75_1","6n1.5113","marginal"
6,0.415,0.302,NA,1.370248,1.378109,"two sided","0.168169 < p < 0.170610","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.476n1_3_4_0.25_0.25","6n1.5113","marginal"
7,0.415,0.361,NA,1.146611,1.152566,"two sided","0.249089 < p < 0.251542","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.2476n1_3_4_0.25_0.5","6n1.5113","marginal"
8,0.517,0.438,NA,1.177879,1.182857,"two sided","0.236866 < p < 0.238845","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.2786n1_3_4_0.5_0.25","6n1.5113","marginal"
9,0.516,0.474,NA,1.086407,1.090813,"two sided","0.275355 < p < 0.277299","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.1866n1_3_4_0.5_0.5","6n1.5113","marginal"
10,0.49,0.351,NA,1.379801,1.412268,"two sided","0.157871 < p < 0.167648","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.486n1_3_4_0.5_0.75","6n1.5113","marginal"
11,0.455,0.312,NA,1.4544,1.462279,"two sided","0.143665 < p < 0.145835","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.5546n1_3_4_0.5_1","6n1.5113","marginal"
12,0.504,0.261,NA,1.92543,1.93666,"two sided","0.052787 < p < 0.054176","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.0256n1_3_5_0.25_0.25","6n1.5113","marginal"
13,0.558,0.318,NA,1.750392,1.759055,"two sided","0.078568 < p < 0.080051","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.856n1_3_5_0.5_0.25","6n1.5113","marginal"
14,0.19,0.107,NA,1.72093,1.830986,"two sided","0.067103 < p < 0.085263","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.8216n1_3_6_0.25_0.25","6n1.5113","marginal"
15,0.191,0.124,NA,1.53012,1.550607,"two sided","0.120996 < p < 0.125987","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.636n1_3_6_0.25_0.5","6n1.5113","marginal"
16,0.156,0.132,NA,1.173585,1.190114,"two sided","0.234002 < p < 0.240561","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.2746n1_3_6_0.25_0.75","6n1.5113","marginal"
17,0.768,0.341,NA,2.247438,2.256975,"two sided","0.024010 < p < 0.024612","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.3476n1_3_6_0.75_0.25","6n1.5113","marginal"
18,0.584,0.349,NA,1.669528,1.677188,"two sided","0.093506 < p < 0.095013","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.776n1_3_6_1_0.5","6n1.5113","marginal"
19,0.594,0.365,NA,1.623803,1.631001,"two sided","0.102890 < p < 0.104418","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7246n1_3_6_1.5_0.75","6n1.5113","marginal"
20,0.888,0.553,NA,1.603433,1.608145,"two sided","0.107803 < p < 0.108839","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7036n1_3_6_1.75_0.75","6n1.5113","marginal"
21,0.696,0.296,NA,2.3457,2.357022,"two sided","0.018422 < p < 0.018991","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.4466n1_3_6_2_0.75","6n1.5113","marginal"
22,0.398,0.25,NA,1.558824,1.626531,"two sided","0.103837 < p < 0.119038","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.6596n1_3_6_2.25_0.75","6n1.5113","marginal"
23,0.741,0.401,NA,1.844334,1.851436,"two sided","0.064107 < p < 0.065135","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.9446n1_3_7_A_0.25_0.5","6n1.5113","marginal"
24,-0.317,0.137,NA,2.301818,2.326007,"two sided","0.020018 < p < 0.021345","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.4026n1_3_7_A_0.25_0.75","6n1.5113","marginal"
25,0.681,0.281,NA,2.417407,2.42959,"two sided","0.015116 < p < 0.015632","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.5176n1_3_7_B_0.25_0.25","6n1.5113","marginal"
26,0.552,0.223,NA,2.467562,2.483146,"two sided","0.013023 < p < 0.013604","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.5686n1_3_7_B_0.25_0.5","6n1.5113","marginal"
1,0.217,0.099,NA,2.175879,2.208122,"two sided","0.027236 < p < 0.029564","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.2768w2_3_5_2.5_0.25","8w7.3213",NA
2,-1.231,0.4832,NA,2.546301,2.548898,"two sided","0.010806 < p < 0.010887","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"2.6468w2_3_6_0.75_0.25","8w7.3213","implausible answer"
3,0.0454,0.0179,NA,2.526462,2.546218,"two sided","0.010890 < p < 0.011522","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"2.6268w2_3_6_1.25_0.25","8w7.3213","implausible answer"
1,-0.321,0.163,NA,1.960245,1.978462,"two sided","0.047877 < p < 0.049967","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.068g0_2_4_B_2.25_2.25","8g5.4000000000000107",NA
2,-1.125,0.436,NA,2.576174,2.584386,"two sided","0.009755 < p < 0.009990","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.6768g0_2_4_C_0.25_0.25","8g5.4000000000000107",NA
1,2.496,1.251,NA,1.994007,1.996401,"two sided","0.045890 < p < 0.046151","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.0948b1_0_6_0.25_1.25","8b1.7110","low df"
1,-56.65,22.7,NA,2.48989,2.501325,"two sided","0.012373 < p < 0.012778","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.595d0_4_10_0.5_0.25","5d5.40000000000001019",NA
2,-59.19,24,NA,2.460915,2.471608,"two sided","0.013451 < p < 0.013858","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.5615d0_4_10_1.5_0.25","5d5.40000000000001019",NA
3,-59.52,25,NA,2.375848,2.385772,"two sided","0.017043 < p < 0.017509","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.4765d0_4_10_1.5_1.5","5d5.40000000000001019",NA
4,1.3511,0.53,NA,2.525327,2.573619,"two sided","0.010064 < p < 0.011559","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.6255d0_4_11_0.25_1","5d5.40000000000001019",NA
5,1.6769,0.67,NA,2.484222,2.521729,"two sided","0.011678 < p < 0.012983","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.5845d0_4_11_0.25_1.75","5d5.40000000000001019",NA
6,1.7822,0.71,NA,2.492517,2.528014,"two sided","0.011471 < p < 0.012684","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.5935d0_4_11_0.5_2.25","5d5.40000000000001019",NA
7,1.1535,0.48,NA,2.378247,2.428526,"two sided","0.015160 < p < 0.017395","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.4785d0_4_11_0.75_1","5d5.40000000000001019",NA
8,0.2329,0.138,NA,1.681227,1.694182,"two sided","0.090231 < p < 0.092719","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"1.7815d0_4_4_0.5_1.25","5d5.40000000000001019","author: low df"
9,0.0405,0.024,NA,1.65102,1.725532,"two sided","0.084432 < p < 0.098734","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"1.7515d0_4_4_0.75_0.25","5d5.40000000000001019","author: low df"
10,3.7498,1.5,NA,2.491528,2.508261,"two sided","0.012133 < p < 0.012719","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.5925d0_4_7_0.25_1.75","5d5.40000000000001019",NA
11,4.434,1.87,NA,2.364773,2.377507,"two sided","0.017430 < p < 0.018041","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.4655d0_4_7_0.75_0.5","5d5.40000000000001019",NA
12,5.4123,2.15,NA,2.511485,2.52324,"two sided","0.011628 < p < 0.012022","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.6115d0_4_7_0.75_1.25","5d5.40000000000001019",NA
13,3.9925,1.56,NA,2.551086,2.567556,"two sided","0.010242 < p < 0.010739","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.6515d0_4_7_0.75_1.75","5d5.40000000000001019",NA
14,5.0405,2.16,NA,2.328152,2.339002,"two sided","0.019335 < p < 0.019904","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.4285d0_4_7_0.75_2","5d5.40000000000001019",NA
15,-22.686,9.37,NA,2.419787,2.422477,"two sided","0.015415 < p < 0.015530","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.525d0_4_7_1.5_2","5d5.40000000000001019",NA
16,621.608,362.98,NA,1.712488,1.712538,"two sided","0.086798 < p < 0.086807","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"1.8125d0_4_8_2.5_1.25","5d5.40000000000001019",NA
17,-171.5,72,NA,2.364828,2.399301,"two sided","0.016426 < p < 0.018038","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.4655d0_4_8_0.5_0.5","5d5.40000000000001019",NA
18,-27.441,11.45,NA,2.395504,2.397685,"two sided","0.016499 < p < 0.016598","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.4965d0_4_8_1.5_0.25","5d5.40000000000001019",NA
19,3.1428,1.29,NA,2.426834,2.445798,"two sided","0.014453 < p < 0.015231","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.5275d0_4_8_2_0.25","5d5.40000000000001019",NA
20,3.9685,1.63,NA,2.427187,2.442185,"two sided","0.014599 < p < 0.015216","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.5275d0_4_9_0.25_1","5d5.40000000000001019",NA
1,-10.297,3.981,NA,2.586086,2.586987,"two sided","0.009682 < p < 0.009707","0.01 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"2.6866y2_1_5_0.5_0.25","6y7.521",NA
1,0.046,0.028,NA,1.596491,1.690909,"two sided","0.090854 < p < 0.110379","0 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"1.6968u2_0_5_0.25_1","8u5.2210",NA
2,-0.07,0.012,NA,5.56,6.130435,"two sided","0.000000 < p < 0.000001","0.05 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"5.668u2_0_8_0.25_3.75","8u5.2210",NA
3,-0.07,0.012,NA,5.56,6.130435,"two sided","0.000000 < p < 0.000001","0.05 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"5.668u2_0_8_0.25_4","8u5.2210",NA
1,0.055,0.039,NA,1.379747,1.441558,"two sided","0.149427 < p < 0.167665","0 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"1.485h2_2_2_0.5_1","5h7.322",NA
